OrderID,OrderDateKey,ShipDateKey,ProductKey,CustomerKey,ShipMode,PaymentMethod,Quantity,UnitPrice,DiscountPct,DiscountAmount,SalesAmount,CostAmount,Profit,ShipDays
1022,20230319,20230326,8,85,Standard,UPI,2,1199,20,239.8,1918.4,1750.79,167.61,7
1023,20221024,20221026,18,65,Standard,Debit Card,2,599,0,0.0,1198.0,817.29,380.71,2
1024,20220131,20220203,8,151,Standard,Debit Card,3,1199,0,0.0,3597.0,2103.7,1493.3,3
1025,20240512,20240517,4,191,Same Day,COD,1,55000,5,2750.0,52250.0,35181.03,17068.97,5
1026,20220812,20220816,17,57,Same Day,Net Banking,5,399,0,0.0,1995.0,1387.42,607.58,4
1027,20220305,20220306,16,103,First Class,Credit Card,4,799,15,119.85,2716.6,1826.81,889.79,1
1028,20220615,20220618,20,38,Same Day,Net Banking,1,4999,0,0.0,4999.0,3024.41,1974.59,3
1029,20241222,20241225,15,130,Standard,COD,5,2499,5,124.95,11870.25,7120.1,4750.15,3
1030,20230317,20230321,15,59,First Class,Net Banking,4,2499,0,0.0,9996.0,7151.98,2844.02,4
1031,20220714,20220717,14,81,First Class,Credit Card,3,999,0,0.0,2997.0,2219.93,777.07,3
1032,20220706,20220713,3,24,Same Day,Debit Card,4,2999,0,0.0,11996.0,8384.22,3611.78,7
1033,20220503,20220508,18,144,Same Day,Net Banking,3,599,15,89.85,1527.45,1032.28,495.17,5
1034,20220416,20220419,20,80,Express,Debit Card,3,4999,0,0.0,14997.0,9981.76,5015.24,3
1035,20240914,20240916,4,90,Same Day,COD,5,55000,0,0.0,275000.0,157568.69,117431.31,2
1036,20230409,20230416,14,144,Standard,COD,5,999,10,99.9,4495.5,3421.55,1073.95,7
1037,20230702,20230703,6,70,Express,Debit Card,3,1299,0,0.0,3897.0,2416.94,1480.06,1
1038,20240331,20240401,5,190,Express,Net Banking,1,3499,0,0.0,3499.0,2446.58,1052.42,1
1039,20240509,20240513,11,41,Standard,Credit Card,3,8999,0,0.0,26997.0,18744.54,8252.46,4
1040,20221115,20221117,20,13,First Class,Net Banking,1,4999,0,0.0,4999.0,3192.47,1806.53,2
1041,20240624,20240628,9,56,Standard,UPI,5,2999,0,0.0,14995.0,9282.42,5712.58,4
1042,20240923,20240928,10,12,Standard,Credit Card,2,1599,5,79.95,3038.1,2388.55,649.55,5
1043,20230223,20230226,7,197,Same Day,Credit Card,2,2800,20,560.0,4480.0,3366.18,1113.82,3
1044,20220116,20220120,14,45,Express,COD,2,999,5,49.95,1898.1,1311.72,586.38,4
1045,20231227,20231228,13,190,Standard,UPI,1,12999,5,649.95,12349.05,7198.17,5150.88,1
1046,20240529,20240603,13,182,Standard,UPI,4,12999,0,0.0,51996.0,29795.51,22200.49,5
1047,20221218,20221225,20,118,Standard,Debit Card,3,4999,0,0.0,14997.0,9558.22,5438.78,7
1048,20240611,20240616,13,135,Same Day,Debit Card,1,12999,5,649.95,12349.05,9412.64,2936.41,5
1049,20231114,20231121,6,20,Express,UPI,5,1299,15,194.85,5520.75,3720.37,1800.38,7
1050,20231221,20231227,5,61,Express,COD,1,3499,0,0.0,3499.0,2103.58,1395.42,6
1051,20221110,20221117,3,46,First Class,COD,4,2999,5,149.95,11396.2,8407.87,2988.33,7
1052,20231024,20231031,11,39,Same Day,UPI,4,8999,0,0.0,35996.0,23173.66,12822.34,7
1053,20220426,20220429,17,19,Standard,UPI,3,399,5,19.95,1137.15,766.54,370.61,3
1054,20230811,20230812,3,158,Standard,Net Banking,5,2999,10,299.9,13495.5,9400.31,4095.19,1
1055,20230121,20230124,20,122,First Class,Credit Card,5,4999,0,0.0,24995.0,18534.9,6460.1,3
1056,20231205,20231211,3,130,First Class,Net Banking,2,2999,0,0.0,5998.0,3596.09,2401.91,6
1057,20241209,20241214,20,41,First Class,Net Banking,3,4999,0,0.0,14997.0,11001.61,3995.39,5
1058,20231124,20231130,20,14,First Class,UPI,3,4999,0,0.0,14997.0,9237.22,5759.78,6
1059,20230601,20230607,20,39,Express,UPI,3,4999,0,0.0,14997.0,9996.22,5000.78,6
1060,20230928,20231004,13,34,Same Day,COD,5,12999,15,1949.85,55245.75,47940.34,7305.41,6
1061,20240211,20240217,11,33,First Class,COD,5,8999,0,0.0,44995.0,30560.83,14434.17,6
1062,20240112,20240113,12,80,First Class,Debit Card,2,3499,0,0.0,6998.0,4327.19,2670.81,1
1063,20230409,20230411,5,20,Standard,UPI,3,3499,20,699.8,8397.6,7427.93,969.67,2
1064,20220926,20221001,13,40,Express,Net Banking,2,12999,0,0.0,25998.0,18621.56,7376.44,5
1065,20220331,20220404,12,174,First Class,Debit Card,2,3499,5,174.95,6648.1,4703.49,1944.61,4
1066,20241229,20241231,10,121,First Class,Net Banking,2,1599,0,0.0,3198.0,2192.75,1005.25,2
1067,20230801,20230808,13,129,Express,COD,5,12999,5,649.95,61745.25,48307.77,13437.48,7
1068,20221011,20221018,9,14,Standard,COD,4,2999,20,599.8,9596.8,7488.41,2108.39,7
1069,20220913,20220916,3,196,Express,Net Banking,2,2999,0,0.0,5998.0,3837.9,2160.1,3
1070,20220707,20220709,15,90,Same Day,Debit Card,1,2499,5,124.95,2374.05,1401.07,972.98,2
1071,20240301,20240302,12,58,Same Day,Debit Card,1,3499,0,0.0,3499.0,2575.84,923.16,1
1072,20221009,20221010,10,121,First Class,COD,2,1599,20,319.8,2558.4,2210.16,348.24,1
1073,20220111,20220112,1,66,First Class,Credit Card,2,45000,20,9000.0,72000.0,52191.35,19808.65,1
1074,20230814,20230816,10,32,First Class,Credit Card,1,1599,0,0.0,1599.0,1013.71,585.29,2
1075,20220816,20220823,16,153,Express,Debit Card,5,799,0,0.0,3995.0,2702.18,1292.82,7
1076,20230820,20230824,1,158,Express,Credit Card,3,45000,0,0.0,135000.0,89657.92,45342.08,4
1077,20241208,20241211,3,135,Standard,Net Banking,5,2999,10,299.9,13495.5,10605.7,2889.8,3
1078,20240820,20240821,13,96,Standard,UPI,3,12999,15,1949.85,33147.45,21575.03,11572.42,1
1079,20230509,20230515,4,198,Express,Credit Card,5,55000,15,8250.0,233750.0,192867.34,40882.66,6
1080,20231223,20231228,11,165,First Class,Net Banking,2,8999,20,1799.8,14398.4,12703.5,1694.9,5
1081,20230109,20230116,5,17,Standard,Debit Card,4,3499,0,0.0,13996.0,8519.2,5476.8,7
1082,20220327,20220330,10,132,Same Day,Credit Card,4,1599,20,319.8,5116.8,4212.44,904.36,3
1083,20230127,20230130,12,200,Same Day,Credit Card,1,3499,20,699.8,2799.2,2383.33,415.87,3
1084,20240124,20240128,13,191,Express,Net Banking,4,12999,5,649.95,49396.2,32123.51,17272.69,4
1085,20241015,20241018,17,69,First Class,COD,1,399,15,59.85,339.15,253.33,85.82,3
1086,20230105,20230110,10,83,Same Day,UPI,1,1599,0,0.0,1599.0,984.32,614.68,5
1087,20240702,20240707,14,43,Same Day,COD,4,999,0,0.0,3996.0,2555.15,1440.85,5
1088,20240609,20240612,2,20,Express,Credit Card,4,79999,0,0.0,319996.0,208834.89,111161.11,3
1089,20221020,20221027,20,174,Express,UPI,4,4999,0,0.0,19996.0,11502.62,8493.38,7
1090,20240112,20240116,19,9,Same Day,UPI,5,8999,0,0.0,44995.0,30858.13,14136.87,4
1091,20240628,20240705,3,147,Same Day,UPI,2,2999,10,299.9,5398.2,3739.09,1659.11,7
1092,20230527,20230528,1,189,Standard,UPI,2,45000,5,2250.0,85500.0,58819.41,26680.59,1
1093,20230618,20230624,15,55,First Class,Debit Card,5,2499,0,0.0,12495.0,8606.51,3888.49,6
1094,20220909,20220911,3,116,Standard,UPI,2,2999,15,449.85,5098.3,3832.86,1265.44,2
1095,20231213,20231219,3,141,Express,Debit Card,5,2999,0,0.0,14995.0,10920.35,4074.65,6
1096,20240111,20240116,8,32,First Class,Credit Card,2,1199,20,239.8,1918.4,1385.51,532.89,5
1097,20240110,20240115,19,95,Express,COD,4,8999,20,1799.8,28796.8,26874.7,1922.1,5
1098,20220626,20220627,10,102,First Class,COD,4,1599,10,159.9,5756.4,4043.29,1713.11,1
1099,20220601,20220603,11,165,Same Day,Debit Card,1,8999,5,449.95,8549.05,5787.86,2761.19,2
1100,20230108,20230115,5,111,Standard,COD,5,3499,20,699.8,13996.0,9816.14,4179.86,7
1101,20221110,20221113,6,42,Same Day,Credit Card,3,1299,15,194.85,3312.45,2319.08,993.37,3
1102,20230529,20230531,18,71,Standard,COD,2,599,15,89.85,1018.3,731.46,286.84,2
1103,20221212,20221217,19,40,Same Day,COD,2,8999,15,1349.85,15298.3,12146.78,3151.52,5
1104,20220326,20220402,1,21,Same Day,Debit Card,1,45000,15,6750.0,38250.0,31689.2,6560.8,7
1105,20240503,20240508,1,128,Same Day,Net Banking,5,45000,0,0.0,225000.0,152635.83,72364.17,5
1106,20230517,20230524,13,77,Express,Net Banking,4,12999,0,0.0,51996.0,35758.83,16237.17,7
1107,20240501,20240505,15,53,Same Day,UPI,3,2499,10,249.9,6747.3,4338.77,2408.53,4
1108,20240327,20240329,12,132,First Class,Credit Card,5,3499,0,0.0,17495.0,10738.84,6756.16,2
1109,20230702,20230706,8,37,First Class,COD,1,1199,0,0.0,1199.0,729.04,469.96,4
1110,20240506,20240508,6,84,Express,Net Banking,5,1299,15,194.85,5520.75,3978.47,1542.28,2
1111,20241120,20241124,16,79,First Class,COD,4,799,0,0.0,3196.0,1815.36,1380.64,4
1112,20240725,20240727,7,150,First Class,COD,3,2800,0,0.0,8400.0,4704.91,3695.09,2
1113,20240821,20240824,18,3,Same Day,UPI,1,599,5,29.95,569.05,345.5,223.55,3
1114,20240405,20240408,2,103,Same Day,COD,1,79999,10,7999.9,71999.1,52988.41,19010.69,3
1115,20230815,20230816,13,130,Standard,Debit Card,4,12999,20,2599.8,41596.8,34315.87,7280.93,1
1116,20220718,20220722,12,87,Express,COD,5,3499,0,0.0,17495.0,12263.87,5231.13,4
1117,20241108,20241112,17,11,Same Day,Net Banking,1,399,0,0.0,399.0,230.39,168.61,4
1118,20241129,20241203,5,156,Same Day,Debit Card,5,3499,0,0.0,17495.0,10769.8,6725.2,4
1119,20240315,20240320,10,152,First Class,COD,3,1599,10,159.9,4317.3,3433.01,884.29,5
1120,20230906,20230910,1,95,First Class,COD,3,45000,15,6750.0,114750.0,77209.32,37540.68,4
1121,20230923,20230930,1,153,Express,Credit Card,4,45000,0,0.0,180000.0,133814.55,46185.45,7
1122,20240910,20240912,17,162,Express,Debit Card,5,399,20,79.8,1596.0,1432.88,163.12,2
1123,20220306,20220311,4,49,Express,Net Banking,1,55000,5,2750.0,52250.0,33700.62,18549.38,5
1124,20230222,20230226,17,199,Standard,Debit Card,5,399,5,19.95,1895.25,1445.5,449.75,4
1125,20241128,20241130,18,84,Express,Net Banking,4,599,10,59.9,2156.4,1498.37,658.03,2
1126,20241227,20241230,18,91,Express,UPI,3,599,10,59.9,1617.3,1162.36,454.94,3
1127,20230904,20230906,10,198,First Class,UPI,3,1599,15,239.85,4077.45,2837.21,1240.24,2
1128,20240909,20240912,18,185,First Class,Net Banking,3,599,0,0.0,1797.0,1032.15,764.85,3
1129,20231208,20231215,5,75,Standard,UPI,1,3499,0,0.0,3499.0,2592.98,906.02,7
1130,20240624,20240630,9,192,Same Day,COD,4,2999,0,0.0,11996.0,7082.6,4913.4,6
1131,20230711,20230713,4,158,Express,Debit Card,5,55000,0,0.0,275000.0,164585.19,110414.81,2
1132,20220418,20220419,14,85,Express,Credit Card,4,999,0,0.0,3996.0,2742.21,1253.79,1
1133,20221120,20221124,16,123,Same Day,UPI,2,799,20,159.8,1278.4,1186.97,91.43,4
1134,20220502,20220509,3,167,Standard,Debit Card,5,2999,0,0.0,14995.0,9852.17,5142.83,7
1135,20240505,20240512,6,10,Same Day,Credit Card,4,1299,20,259.8,4156.8,3372.6,784.2,7
1136,20220119,20220122,19,155,First Class,Debit Card,1,8999,0,0.0,8999.0,5461.6,3537.4,3
1137,20241029,20241102,9,50,First Class,UPI,1,2999,0,0.0,2999.0,1746.91,1252.09,4
1138,20230117,20230118,11,76,Express,COD,5,8999,15,1349.85,38245.75,31562.04,6683.71,1
1139,20240410,20240417,14,132,Standard,Debit Card,3,999,0,0.0,2997.0,1888.61,1108.39,7
1140,20221015,20221019,11,64,First Class,UPI,1,8999,0,0.0,8999.0,5639.81,3359.19,4
1141,20231107,20231110,19,186,Same Day,Debit Card,5,8999,0,0.0,44995.0,27100.97,17894.03,3
1142,20220508,20220514,4,120,Same Day,Credit Card,3,55000,0,0.0,165000.0,104128.75,60871.25,6
1143,20230828,20230831,20,57,First Class,COD,2,4999,0,0.0,9998.0,6455.07,3542.93,3
1144,20240205,20240209,18,121,Express,Debit Card,5,599,20,119.8,2396.0,2045.04,350.96,4
1145,20220617,20220622,15,136,Standard,Credit Card,3,2499,0,0.0,7497.0,5498.67,1998.33,5
1146,20241101,20241103,19,138,First Class,Credit Card,2,8999,0,0.0,17998.0,11079.99,6918.01,2
1147,20230225,20230303,19,126,Standard,Net Banking,1,8999,10,899.9,8099.1,5751.23,2347.87,6
1148,20220928,20221003,14,117,Same Day,Credit Card,5,999,0,0.0,4995.0,3305.49,1689.51,5
1149,20240321,20240324,1,191,First Class,UPI,2,45000,10,4500.0,81000.0,50814.53,30185.47,3
1150,20220511,20220516,2,18,Express,Debit Card,4,79999,0,0.0,319996.0,194371.38,125624.62,5
1151,20240510,20240513,13,115,Express,UPI,4,12999,5,649.95,49396.2,29432.34,19963.86,3
1152,20220831,20220902,18,101,Express,Credit Card,5,599,0,0.0,2995.0,2083.24,911.76,2
1153,20220216,20220219,15,173,Express,Debit Card,5,2499,5,124.95,11870.25,8201.55,3668.7,3
1154,20240801,20240804,5,71,Standard,Net Banking,2,3499,15,524.85,5948.3,4920.28,1028.02,3
1155,20220202,20220204,7,18,Standard,Debit Card,1,2800,10,280.0,2520.0,1558.8,961.2,2
1156,20220401,20220405,15,60,Standard,Debit Card,5,2499,0,0.0,12495.0,8757.46,3737.54,4
1157,20241028,20241031,8,188,Same Day,Debit Card,5,1199,0,0.0,5995.0,3989.64,2005.36,3
1158,20230911,20230913,17,57,Express,Net Banking,4,399,0,0.0,1596.0,965.63,630.37,2
1159,20241012,20241013,12,165,First Class,Net Banking,4,3499,20,699.8,11196.8,9165.88,2030.92,1
1160,20221102,20221105,13,48,Express,UPI,5,12999,5,649.95,61745.25,38879.6,22865.65,3
1161,20221023,20221030,15,15,Express,Net Banking,5,2499,5,124.95,11870.25,9290.75,2579.5,7
1162,20230513,20230516,7,85,Standard,COD,1,2800,5,140.0,2660.0,2014.39,645.61,3
1163,20230126,20230127,9,97,Standard,Debit Card,5,2999,10,299.9,13495.5,8365.85,5129.65,1
1164,20230321,20230325,7,86,Express,Credit Card,3,2800,0,0.0,8400.0,4975.84,3424.16,4
1165,20240907,20240909,20,181,Same Day,UPI,2,4999,5,249.95,9498.1,7328.79,2169.31,2
1166,20240219,20240223,18,167,First Class,Net Banking,3,599,0,0.0,1797.0,1082.36,714.64,4
1167,20220721,20220728,16,195,First Class,Credit Card,3,799,0,0.0,2397.0,1496.07,900.93,7
1168,20230330,20230405,5,5,First Class,UPI,3,3499,10,349.9,9447.3,7735.78,1711.52,6
1169,20221109,20221111,11,59,First Class,COD,4,8999,10,899.9,32396.4,25797.34,6599.06,2
1170,20231123,20231126,16,186,Same Day,Debit Card,4,799,5,39.95,3036.2,1865.33,1170.87,3
1171,20221014,20221020,18,126,Standard,COD,2,599,10,59.9,1078.2,896.18,182.02,6
1172,20220311,20220318,3,172,Express,Debit Card,1,2999,20,599.8,2399.2,1653.28,745.92,7
1173,20220520,20220526,5,3,Standard,COD,2,3499,10,349.9,6298.2,4487.13,1811.07,6
1174,20240916,20240922,16,5,Standard,Credit Card,1,799,10,79.9,719.1,527.6,191.5,6
1175,20241220,20241226,9,138,First Class,Debit Card,3,2999,0,0.0,8997.0,5852.04,3144.96,6
1176,20220808,20220809,17,39,Same Day,UPI,2,399,0,0.0,798.0,537.82,260.18,1
1177,20230702,20230709,13,21,Express,Debit Card,3,12999,5,649.95,37047.15,25028.26,12018.89,7
1178,20230907,20230913,3,168,First Class,COD,1,2999,0,0.0,2999.0,1892.54,1106.46,6
1179,20240901,20240902,1,180,First Class,UPI,2,45000,0,0.0,90000.0,58497.45,31502.55,1
1180,20220715,20220720,2,59,First Class,UPI,2,79999,20,15999.8,127998.4,110151.83,17846.57,5
1181,20220406,20220407,9,140,Same Day,Credit Card,5,2999,15,449.85,12745.75,8345.92,4399.83,1
1182,20230301,20230306,5,193,Express,COD,4,3499,0,0.0,13996.0,8535.54,5460.46,5
1183,20240307,20240313,18,85,Standard,COD,4,599,20,119.8,1916.8,1672.29,244.51,6
1184,20231210,20231211,4,112,First Class,UPI,2,55000,20,11000.0,88000.0,62172.4,25827.6,1
1185,20220302,20220308,9,116,First Class,Net Banking,4,2999,0,0.0,11996.0,7451.46,4544.54,6
1186,20230116,20230122,19,170,Same Day,Debit Card,4,8999,0,0.0,35996.0,25356.79,10639.21,6
1187,20220531,20220601,9,40,Express,Net Banking,4,2999,15,449.85,10196.6,8478.51,1718.09,1
1188,20231011,20231014,4,24,Same Day,Credit Card,1,55000,0,0.0,55000.0,35142.09,19857.91,3
1189,20220929,20220930,6,111,First Class,Credit Card,4,1299,10,129.9,4676.4,3434.29,1242.11,1
1190,20220223,20220224,12,142,Same Day,Net Banking,1,3499,10,349.9,3149.1,2342.96,806.14,1
1191,20220126,20220129,14,100,Express,COD,1,999,15,149.85,849.15,729.5,119.65,3
1192,20241203,20241205,13,44,First Class,Debit Card,2,12999,0,0.0,25998.0,15864.66,10133.34,2
1193,20220510,20220512,14,71,Standard,UPI,4,999,0,0.0,3996.0,2584.8,1411.2,2
1194,20230531,20230602,16,153,Express,UPI,5,799,0,0.0,3995.0,2563.08,1431.92,2
1195,20220114,20220118,11,159,First Class,UPI,4,8999,20,1799.8,28796.8,26004.94,2791.86,4
1196,20240531,20240607,20,35,Express,Net Banking,3,4999,0,0.0,14997.0,10057.62,4939.38,7
1197,20231006,20231008,13,82,First Class,COD,3,12999,15,1949.85,33147.45,26868.6,6278.85,2
1198,20230512,20230515,13,72,Express,COD,4,12999,0,0.0,51996.0,29782.14,22213.86,3
1199,20230104,20230110,18,7,Same Day,Credit Card,4,599,15,89.85,2036.6,1418.26,618.34,6
1200,20240417,20240423,16,36,Express,Net Banking,3,799,0,0.0,2397.0,1439.49,957.51,6
1201,20240212,20240213,15,154,First Class,COD,4,2499,10,249.9,8996.4,6299.09,2697.31,1
1202,20220317,20220324,12,180,Standard,Credit Card,5,3499,10,349.9,15745.5,11855.24,3890.26,7
1203,20230524,20230530,12,43,First Class,UPI,5,3499,0,0.0,17495.0,11592.96,5902.04,6
1204,20240531,20240601,1,26,Express,Net Banking,3,45000,0,0.0,135000.0,88038.26,46961.74,1
1205,20240206,20240210,15,198,Same Day,Credit Card,5,2499,15,374.85,10620.75,8122.91,2497.84,4
1206,20240915,20240916,10,107,Express,UPI,1,1599,0,0.0,1599.0,1145.31,453.69,1
1207,20231001,20231004,15,53,Standard,Net Banking,5,2499,5,124.95,11870.25,7742.65,4127.6,3
1208,20240715,20240718,3,77,Standard,UPI,1,2999,20,599.8,2399.2,2075.78,323.42,3
1209,20220812,20220818,6,190,Express,UPI,2,1299,10,129.9,2338.2,1519.55,818.65,6
1210,20240523,20240527,8,104,First Class,Net Banking,2,1199,0,0.0,2398.0,1626.07,771.93,4
1211,20220301,20220307,20,51,Standard,Debit Card,4,4999,10,499.9,17996.4,12715.67,5280.73,6
1212,20230226,20230301,3,148,Express,UPI,1,2999,20,599.8,2399.2,2172.46,226.74,3
1213,20231030,20231101,15,30,Same Day,COD,3,2499,15,374.85,6372.45,5416.79,955.66,2
1214,20240306,20240311,13,151,First Class,COD,1,12999,0,0.0,12999.0,8064.54,4934.46,5
1215,20221220,20221227,10,158,Same Day,Credit Card,5,1599,0,0.0,7995.0,5471.95,2523.05,7
1216,20230504,20230507,4,47,First Class,Net Banking,3,55000,15,8250.0,140250.0,95414.83,44835.17,3
1217,20221010,20221015,13,109,Express,COD,2,12999,5,649.95,24698.1,17603.25,7094.85,5
1218,20221208,20221212,10,36,Standard,UPI,2,1599,0,0.0,3198.0,2297.43,900.57,4
1219,20220120,20220124,5,50,First Class,Net Banking,4,3499,10,349.9,12596.4,9112.62,3483.78,4
1220,20241004,20241008,15,126,Express,UPI,2,2499,0,0.0,4998.0,3314.07,1683.93,4
1221,20220308,20220311,8,138,First Class,COD,3,1199,0,0.0,3597.0,2540.01,1056.99,3
1222,20241112,20241113,19,30,Same Day,COD,3,8999,20,1799.8,21597.6,17780.8,3816.8,1
1223,20220327,20220403,15,140,Express,UPI,2,2499,5,124.95,4748.1,2851.28,1896.82,7
1224,20220308,20220312,9,90,Standard,Debit Card,1,2999,5,149.95,2849.05,2168.45,680.6,4
1225,20230306,20230313,19,177,First Class,Debit Card,3,8999,20,1799.8,21597.6,18685.99,2911.61,7
1226,20221013,20221020,7,53,Same Day,COD,1,2800,10,280.0,2520.0,1736.46,783.54,7
1227,20221211,20221214,10,75,Standard,Debit Card,5,1599,0,0.0,7995.0,5920.13,2074.87,3
1228,20240422,20240423,9,168,Express,Debit Card,2,2999,15,449.85,5098.3,4337.85,760.45,1
1229,20231022,20231029,8,195,Same Day,Net Banking,4,1199,5,59.95,4556.2,2774.17,1782.03,7
1230,20240208,20240212,3,163,Same Day,UPI,1,2999,5,149.95,2849.05,1958.71,890.34,4
1231,20240720,20240724,11,149,Standard,Net Banking,1,8999,20,1799.8,7199.2,6342.74,856.46,4
1232,20240104,20240111,3,137,Express,Net Banking,4,2999,0,0.0,11996.0,8920.53,3075.47,7
1233,20230704,20230707,10,87,First Class,UPI,5,1599,10,159.9,7195.5,4606.07,2589.43,3
1234,20220410,20220411,4,161,Express,Net Banking,4,55000,0,0.0,220000.0,126466.44,93533.56,1
1235,20240723,20240724,14,52,Same Day,Credit Card,2,999,15,149.85,1698.3,1219.53,478.77,1
1236,20240109,20240112,3,96,Same Day,Debit Card,2,2999,0,0.0,5998.0,3774.35,2223.65,3
1237,20240529,20240604,3,181,Standard,Debit Card,1,2999,0,0.0,2999.0,1777.46,1221.54,6
1238,20230409,20230414,15,3,Standard,Net Banking,1,2499,15,374.85,2124.15,1546.17,577.98,5
1239,20220928,20221002,3,59,Standard,Credit Card,4,2999,0,0.0,11996.0,8351.05,3644.95,4
1240,20231004,20231007,10,36,Express,Debit Card,4,1599,20,319.8,5116.8,4558.26,558.54,3
1241,20220521,20220526,19,3,Same Day,Debit Card,5,8999,15,1349.85,38245.75,26224.13,12021.62,5
1242,20221107,20221111,20,176,Standard,Debit Card,4,4999,20,999.8,15996.8,11866.6,4130.2,4
1243,20220910,20220915,13,90,Express,UPI,4,12999,0,0.0,51996.0,36824.36,15171.64,5
1244,20220622,20220624,18,154,Standard,UPI,5,599,15,89.85,2545.75,2011.2,534.55,2
1245,20230225,20230302,20,131,Standard,Debit Card,2,4999,15,749.85,8498.3,6282.25,2216.05,5
1246,20241010,20241014,4,62,Standard,UPI,4,55000,15,8250.0,187000.0,147132.91,39867.09,4
1247,20231011,20231013,13,146,Express,Net Banking,4,12999,0,0.0,51996.0,34279.47,17716.53,2
1248,20220530,20220531,19,18,Standard,Net Banking,1,8999,0,0.0,8999.0,5337.74,3661.26,1
1249,20241103,20241106,17,197,Standard,COD,4,399,5,19.95,1516.2,1101.82,414.38,3
1250,20221109,20221112,3,80,Express,COD,1,2999,10,299.9,2699.1,2201.82,497.28,3
1251,20231101,20231105,19,163,Express,Credit Card,1,8999,0,0.0,8999.0,6206.93,2792.07,4
1252,20230516,20230517,14,30,Same Day,Debit Card,4,999,10,99.9,3596.4,2684.38,912.02,1
1253,20220902,20220903,5,180,Same Day,COD,1,3499,0,0.0,3499.0,2271.84,1227.16,1
1254,20241125,20241202,9,43,Same Day,Credit Card,3,2999,0,0.0,8997.0,6297.5,2699.5,7
1255,20220302,20220305,14,70,Standard,Net Banking,5,999,0,0.0,4995.0,3009.94,1985.06,3
1256,20240721,20240726,12,15,Same Day,Debit Card,4,3499,20,699.8,11196.8,9284.63,1912.17,5
1257,20230607,20230614,4,147,Standard,Credit Card,1,55000,0,0.0,55000.0,38398.58,16601.42,7
1258,20220126,20220128,2,121,Express,Credit Card,3,79999,5,3999.95,227997.15,176168.67,51828.48,2
1259,20240508,20240510,11,64,Standard,COD,4,8999,15,1349.85,30596.6,22101.08,8495.52,2
1260,20240203,20240204,17,173,Standard,Net Banking,1,399,0,0.0,399.0,237.26,161.74,1
1261,20220522,20220526,10,199,First Class,Credit Card,3,1599,0,0.0,4797.0,2721.23,2075.77,4
1262,20240126,20240128,10,145,First Class,UPI,3,1599,15,239.85,4077.45,3235.79,841.66,2
1263,20241007,20241014,7,188,Express,Credit Card,5,2800,20,560.0,11200.0,9928.73,1271.27,7
1264,20240419,20240420,8,139,Standard,UPI,3,1199,15,179.85,3057.45,2582.34,475.11,1
1265,20220103,20220110,13,189,Express,Net Banking,3,12999,0,0.0,38997.0,23048.74,15948.26,7
1266,20241004,20241005,5,183,Express,COD,3,3499,0,0.0,10497.0,5865.51,4631.49,1
1267,20240425,20240501,12,118,Express,Net Banking,1,3499,10,349.9,3149.1,1991.33,1157.77,6
